 ,,Google Drive Link: https://drive.google.com/drive/folders/1nSiw3mkP1B4IReRq980WTEhf6HkPFSeb?usp=share_link,,,,,,,,,,,,,,,,,,,
Name,Photo Link,References: https://www.businessinsider.com/january-6-committee-hearings-witnesses-marc-short-jeff-rosen-2022-6#jason-van-tatenhove-former-oath-keepers-spokesman-21,,,,,,,,,,,,,,,,,,,
Brian Jack,https://drive.google.com/file/d/1R6DA06ZV9uOEqcvretmFZcW47gJAGuPC/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Bryan Cutler,https://drive.google.com/file/d/1reuK3kwQmIeA9A3cRcsLnJ4nioTY7sHZ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Byung J. Pak,https://drive.google.com/file/d/1AgU4VSDll8XKEZb1xY8lbkKO8a0PrMpW/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Carla Krzywicki,https://drive.google.com/file/d/14-ztW_p0SioAWHEUEnc9Lnw9AVIVKNmj/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Caroline Elizabeth Edwards,https://drive.google.com/file/d/1--s3HuWu8-dETO_0sgRLqhC4ovnn5LpZ/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Caroline Wren,https://drive.google.com/file/d/1-L57NWYgIV11HwXb_3mOwKgfcAq7fm-S/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Cassidy J. Hutchinson,https://drive.google.com/file/d/14NWBpIsAH_8r10mU9KH1elE5-2tAtbUI/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Cassie Docksey,https://drive.google.com/file/d/14PTeDIWepG84lI0lTbdFTviV2XTV9kQI/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Chad Wolf,https://drive.google.com/file/d/14hj3LlVoKdm6hitLByoqrrAfqKg9QJPv/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Charles Bowman,https://drive.google.com/file/d/14vegLzXynigGMRmAQTRQhKwqXs2XgQAw/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Charlie Kirk,https://drive.google.com/file/d/15-7H1TmksqgLvfBCJ3W4XblCpZCg3TmR/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Chris Hodgson,https://drive.google.com/file/d/1fy7FBKlV7Vve1QQrkOnadD3MTpG_DHWJ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Christina Bobb,https://drive.google.com/file/d/15C4BGLEeXGsHrRFqvibYko68P2OFtacn/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Christopher Barcenas,https://drive.google.com/file/d/15ETtR3B82VJpXaG8Pu58oEDjH3-jBufx/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Christopher Charles Miller,https://drive.google.com/file/d/15FFauswk3pW1MpZozjY99wiZS2_ztmCB/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Christopher J. Tomney,https://drive.google.com/file/d/15LdBIQPwP78NXhBjXPOdBJgRntDV7v3S/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Christopher Krebs,https://drive.google.com/file/d/15Llh5qvQGmIyKuGxhUGC6Upz-cb9qQaF/view?usp=drivesdk,,,,,,,,,,,,,,,,,,,,
Cindy Chafian,https://drive.google.com/file/d/1sx1LdPlgOzjqlww7YuE88jEnw7r9iYV-/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Cleta Mitchell,https://drive.google.com/file/d/1MB4JHzd7HNKwi_Y6P2sfTZFM1as9CQT-/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Craig Hunter,https://drive.google.com/file/d/1HD4kYBGWKbUpU5boRUzRR9hSVUiiSec-/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Daniel Herendeen,https://drive.google.com/file/d/1Ytpj31_YMgyWrF_pFNqY-OcT8_BO6lCZ/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
"Daniel J. Scavino, Jr.",https://drive.google.com/file/d/1xer_QUbLcMvZ8iHdkzxfFHUYDdZKeiI7/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
David Bowdich,https://drive.google.com/file/d/1ZiGwoLWhUyl8vqW1OVV5ZmFqa_hEMos0/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
David Millard,https://drive.google.com/file/d/14FkikZNsplVRjJidk7lLhvmhxOblS0Du/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
David Shafer,https://drive.google.com/file/d/15OLNg-0reUjZij5Dn2Rnac9EheC2Ydif/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Derek Lyons,https://drive.google.com/file/d/1r5cAFXw86c1bManmBhqWZDTiEw3qfHv_/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Dion Cini,https://drive.google.com/file/d/135SlEp6_-rhr14L1m58lUWS_765i72GG/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Donald John Trump Jr.,https://drive.google.com/file/d/1aKiOg1j-CNJ-ppA9uKjbuVZHyQuZgMXM/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Donnell Harvin,https://drive.google.com/file/d/1FOP263eot9kjtBpUL3N4j5cIkJZXkooC/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
"Douglas C. Sellers, Jr.",https://drive.google.com/file/d/1DRIakgI0yVQ-TjcpaGMR7tUHGces9H60/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Douglas Macgregor,https://drive.google.com/file/d/1oikhMm2HtLukJf0ONara-FfNU_OmyBIj/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
Douglas Mastriano,https://drive.google.com/file/d/1z6NoH_d2bBP_R32m6nSigQj-OSVdQHAP/view?usp=share_link,,,,,,,,,,,,,,,,,,,,
